"run","id","auc","pauc"
1,"00",0.533201540957015,0.00387266828872668
1,"02",0.606413730803975,0.00647395362842517
1,"04",0.503983038013024,0.00572467060427078
1,"06",0.674478100695866,0.00919463774048301
2,"00",0.568937550689375,0.00452656123276561
2,"02",0.698220107969426,0.00810305200705543
2,"04",0.550853728725299,0.0126264148874942
2,"06",0.602976744186047,0.00692093023255813
3,"00",0.543474251993915,0.00354985938868655
3,"02",0.710227272727273,0.024965564738292
3,"04",0.582791487139313,0.012129520825173
3,"06",0.678567220454813,0.0113114174620007
4,"00",0.544787847040335,0.0021372446306967
4,"02",0.619816554072609,0.0085955951007854
4,"04",0.488143930280429,0.00335231373807041
4,"06",0.607269354022601,0.00887726991623095
5,"00",0.58595731191885,0.00258083262890955
5,"02",0.633195156539762,0.0142712992254827
5,"04",0.504522498359346,0.00654549604816389
5,"06",0.677740766713417,0.00875116877045347
6,"00",0.533812949640288,0.00484945377031708
6,"02",0.669675912741357,0.00904767329270375
6,"04",0.510366232153942,0.00338299193047796
6,"06",0.568113724740231,0.00470453241537579
7,"00",0.494520811304431,0.00445784869749111
7,"02",0.689409534127844,0.00523293607800649
7,"04",0.504303849199254,0.00823478327501213
7,"06",0.685085354896676,0.0099131476489967
8,"00",0.558528020289714,0.00241184216943862
8,"02",0.661912026442919,0.00544113907958301
8,"04",0.532969130907275,0.00638529092137339
8,"06",0.582764548258254,0.00930785176196976
9,"00",0.498083801737353,0.00190342360756259
9,"02",0.62775667405297,0.00261158594491928
9,"04",0.565174097391751,0.0102659642811255
9,"06",0.648230088495575,0.0107008442681314
10,"00",0.521801687557918,0.00521143247329659
10,"02",0.596361185983827,0.00237074246508208
10,"04",0.572209330727894,0.0100146555935515
10,"06",0.60033462033462,0.00760875160875161
11,"00",0.554317235168299,0.00522908927164246
11,"02",0.651984807645185,0.0165768194070081
11,"04",0.542144982993197,0.00910395408163265
11,"06",0.596843304225199,0.00417096056842219
12,"00",0.574771717978145,0.00768424729304924
12,"02",0.67796560769455,0.00699504517633343
12,"04",0.511816163990077,0.00165817991904948
12,"06",0.649838407005838,0.00754535029190993
13,"00",0.540379283026342,0.00582541097246979
13,"02",0.639240506329114,0.0101165889407062
13,"04",0.590782122905028,0.0130974549968963
13,"06",0.596514745308311,0.00758591274677065
14,"00",0.562030335162049,0.00404084643400489
14,"02",0.653004692181582,0.0041098988071683
14,"04",0.533860364955231,0.00869318825796214
14,"06",0.65192276400716,0.00840429570971416
15,"00",0.581572273879966,0.0079062764158918
15,"02",0.633321854912764,0.00348943985307621
15,"04",0.575512882700374,0.00756127485947442
15,"06",0.5946505608283,0.0130140926085706
16,"00",0.509869617162745,0.00318944470417121
16,"02",0.630004363477692,0.00366259408748773
16,"04",0.49942726231386,0.00707257614474109
16,"06",0.620915926179084,0.011285030758715
17,"00",0.527135333180673,0.00327455919395466
17,"02",0.671881432688349,0.00756998764923835
17,"04",0.525281467974878,0.00191021967526265
17,"06",0.639191419141914,0.00468921892189219
18,"00",0.54368794993648,0.0056227356137957
18,"02",0.640059588299025,0.0143120260021668
18,"04",0.513437456029267,0.00819192345574785
18,"06",0.602149702149702,0.0105672105672106
19,"00",0.576476613178559,0.00416768277813003
19,"02",0.650284860888323,0.0123983627413021
19,"04",0.551117922827263,0.00964058180069719
19,"06",0.598075809254135,0.0101872707381427
20,"00",0.558714953271028,0.00421728971962617
20,"02",0.702736650809771,0.0285263776791918
20,"04",0.533424201120703,0.00823565046191125
20,"06",0.553851098644226,0.00777816736792894
21,"00",0.541476497435656,0.00456876676233943
21,"02",0.720746608677643,0.0202469711090401
21,"04",0.52942601847645,0.0045979100408905
21,"06",0.669921676329977,0.0117154918116163
22,"00",0.555071866467467,0.00423986399464221
22,"02",0.670148781259892,0.0123034715627308
22,"04",0.525102063334437,0.00550038618558976
22,"06",0.646710800667223,0.00823863636363636
23,"00",0.565150438284767,0.0029376924899313
23,"02",0.664000207103655,0.0180128404266335
23,"04",0.526926313258805,0.00605842048323116
23,"06",0.569545575338825,0.00747276109487111
24,"00",0.52449082222781,0.00323359316067387
24,"02",0.67259073173339,0.0130311614730878
24,"04",0.525750317988688,0.00692538767557035
24,"06",0.627504848093083,0.00851648351648351
25,"00",0.599063231850117,0.00210772833723653
25,"02",0.647770329350044,0.00803264354415621
25,"04",0.556962374489683,0.00910294604435617
25,"06",0.641554222888556,0.00758120939530235
26,"00",0.544389709906951,0.00368910782703886
26,"02",0.591830428871586,0.0118372265480163
26,"04",0.490262002120248,0.00560654248069059
26,"06",0.615871141845168,0.00986675662000337
27,"00",0.564245945291697,0.00453643185669329
27,"02",0.695975390925404,0.0267495513970777
27,"04",0.508036379901595,0.00193827344565379
27,"06",0.609349524933941,0.00505987518974532
28,"00",0.631740403016999,0.00844872227850951
28,"02",0.724826803631151,0.0264661968466316
28,"04",0.514923619271445,0.00204987596291944
28,"06",0.632815645671556,0.00753523152142651
29,"00",0.552962580297381,0.00644625129149633
29,"02",0.615709642470206,0.00221018418201517
29,"04",0.482407407407407,0.00536492374727669
29,"06",0.556447298020332,0.00925628678437667
30,"00",0.541055434519487,0.00550956184943113
30,"02",0.697832059245103,0.0153726708074534
30,"04",0.497688981660951,0.0037125391382138
30,"06",0.577710809755009,0.00446732518555723
31,"00",0.593438194414187,0.00632216461156376
31,"02",0.608902432078373,0.00130147519507888
31,"04",0.543951955782313,0.0065688775510204
31,"06",0.681012279125487,0.0166516921233902
32,"00",0.481246806336229,0.00226111394992335
32,"02",0.669063554400133,0.00373084794512971
32,"04",0.549425287356322,0.00655172413793103
32,"06",0.645927601809955,0.0147651368239603
33,"00",0.547668936616029,0.00392352016762702
33,"02",0.669495249080024,0.00538254517493271
33,"04",0.49133840891537,0.00393909301555776
33,"06",0.633185595567867,0.00606648199445983
34,"00",0.574148475514486,0.00221865095308245
34,"02",0.691529398930948,0.0144267481182502
34,"04",0.528296046151681,0.00505417194315464
34,"06",0.595572057205721,0.00525302530253025
35,"00",0.495497458242556,0.00313725490196078
35,"02",0.654473438956198,0.00847571709640675
35,"04",0.493178266618584,0.0037744921264575
35,"06",0.655421619510017,0.00875048830849935
36,"00",0.544948498794653,0.00526188910804295
36,"02",0.679225352112676,0.0184019501625135
36,"04",0.551865889212828,0.00716618075801749
36,"06",0.606607811663991,0.00604601391118245
37,"00",0.526389475908707,0.00387256973795435
37,"02",0.676712328767123,0.0155698047216555
37,"04",0.534110787172012,0.00308204914618909
37,"06",0.668947368421053,0.0123545706371191
38,"00",0.497382431233363,0.00093167701863354
38,"02",0.67424840570908,0.00991497115092621
38,"04",0.544961734693878,0.00653167517006803
38,"06",0.641240310077519,0.00930852713178294
39,"00",0.613413387838528,0.00729432805314256
39,"02",0.683555775251277,0.0227275223815016
39,"04",0.501318894904901,0.0072608635290851
39,"06",0.624819944598338,0.00905817174515235
40,"00",0.530189068054196,0.0023388800164855
40,"02",0.651579868258543,0.00400885137916838
40,"04",0.522691459186889,0.00715411282697762
40,"06",0.568709640874589,0.00576923076923077
41,"00",0.587251100169927,0.006936516927367
41,"02",0.620051125381882,0.00915269031735145
41,"04",0.606979330193616,0.00537022501308215
41,"06",0.657521037868163,0.0111529920523609
42,"00",0.547381546134663,0.00211734813908625
42,"02",0.643553629469122,0.00585048754062838
42,"04",0.508472998137803,0.0053382991930478
42,"06",0.613245356793744,0.00760019550342131
43,"00",0.504614019520852,0.00320541259982254
43,"02",0.650195133149679,0.00775941230486684
43,"04",0.51625816993464,0.00954248366013072
43,"06",0.622992637254334,0.00638877616093686
44,"00",0.596551724137931,0.00532019704433497
44,"02",0.656946936682902,0.0150986926429121
44,"04",0.541889483065954,0.00533138875384864
44,"06",0.605223505775992,0.00913834477370389
45,"00",0.611513668658542,0.00394767797487413
45,"02",0.68385698808234,0.00310400866738895
45,"04",0.510830965909091,0.00545691287878788
45,"06",0.642632259515376,0.010653848316186
46,"00",0.60174184183646,0.0104456749637116
46,"02",0.676252657151534,0.00890373519587002
46,"04",0.507930871212121,0.0025982481060606
46,"06",0.618880952380952,0.00728571428571428
47,"00",0.587731437297194,0.00736304638289749
47,"02",0.577651515151515,0.00338613406795225
47,"04",0.534260178748759,0.00763544080326603
47,"06",0.585873287671233,0.00535958904109589
48,"00",0.585729073542559,0.00902460829059427
48,"02",0.632757660167131,0.0196378830083565
48,"04",0.496710117939168,0.00446927374301676
48,"06",0.634086692528251,0.00719064485298252
49,"00",0.510999236495514,0.0019039893109372
49,"02",0.67871105319275,0.0155431820874304
49,"04",0.597585855151309,0.0110903320865919
49,"06",0.658582796513831,0.00362511052166224
50,"00",0.525103980986334,0.00643691820162408
50,"02",0.651691699182212,0.00823133251376343
50,"04",0.521271243291592,0.00244297853309481
50,"06",0.572311104070965,0.00554675537251174
51,"00",0.56242396593674,0.00727899432278994
51,"02",0.640621840242669,0.00391809908998989
51,"04",0.49912521216869,0.00772946859903382
51,"06",0.666024889781796,0.0132122328254925
52,"00",0.563108417636954,0.00917636953617103
52,"02",0.672979797979798,0.0172463269054178
52,"04",0.521954944635357,0.00391811319646371
52,"06",0.578512188992209,0.00498869062578537
53,"00",0.563345308537616,0.00567677514792899
53,"02",0.699342770475228,0.00770980788675429
53,"04",0.545818161756593,0.0128158446430542
53,"06",0.577331759149941,0.0112610333389554
54,"00",0.547427476737822,0.00320470717022441
54,"02",0.598152552685436,0.00519663698213396
54,"04",0.476355350378788,0.00143821022727273
54,"06",0.610337496678182,0.00679245283018868
55,"00",0.535021819587914,0.0077666685079821
55,"02",0.626513581324315,0.0047207374277299
55,"04",0.53875511131304,0.0127487505679237
55,"06",0.675607760635811,0.0121931977559607
56,"00",0.530275932549821,0.00278487480838017
56,"02",0.701010635172454,0.0176919913038369
56,"04",0.53608076795763,0.00726028908749862
56,"06",0.559987631416203,0.00612244897959184
57,"00",0.518294392523365,0.00394392523364486
57,"02",0.702629750387514,0.00880859479394944
57,"04",0.529990652264229,0.0078209389281263
57,"06",0.636670573134662,0.00863608460293543
58,"00",0.61440329218107,0.0113289760348584
58,"02",0.670360110803324,0.0240658036067612
58,"04",0.534539332895826,0.00783519274117613
58,"06",0.662976744186046,0.0102077519379845
59,"00",0.547071490094746,0.00157192075796727
59,"02",0.683911424652165,0.0208570122150369
59,"04",0.500882709919453,0.00807679576299238
59,"06",0.620432574143864,0.00870063902998525
60,"00",0.550593433249589,0.00272676080741575
60,"02",0.656161166728464,0.00758867877889011
60,"04",0.551840237662981,0.00488199372833801
60,"06",0.626459591601956,0.0116192119643371
61,"00",0.543568691844554,0.00379584017515052
61,"02",0.643932827735645,0.0157042253521127
61,"04",0.501805160984849,0.00606060606060606
61,"06",0.596294436073442,0.00675539929683576
62,"00",0.533089618837697,0.00518251706897478
62,"02",0.634382432656673,0.00897173516234305
62,"04",0.522528701356791,0.00834948561204711
62,"06",0.561435302645886,0.00503503684909991
63,"00",0.572315480948574,0.00945909938715694
63,"02",0.71421258657031,0.0132490213791027
63,"04",0.479869542576808,0.00199523117822786
63,"06",0.658188308790718,0.0120418180659144
64,"00",0.504060100535823,0.0031652212340496
64,"02",0.682603815937149,0.0169248035914703
64,"04",0.501129702002931,0.00555691255495847
64,"06",0.608473188702415,0.00687679083094556
65,"00",0.537739046235778,0.00664245945291696
65,"02",0.676109765940274,0.0171912832929782
65,"04",0.530167985561572,0.00444259336387616
65,"06",0.591864831038799,0.00883917396745932
66,"00",0.526737416928546,0.00935552006594199
66,"02",0.642183377308707,0.00224274406332454
66,"04",0.509677419354839,0.00332576101771921
66,"06",0.635770568972575,0.00490687679083094
67,"00",0.549439252336449,0.00211682242990654
67,"02",0.695686584883261,0.016450901690316
67,"04",0.567968663797859,0.0121924307624407
67,"06",0.553416352613469,0.00527063192965208
68,"00",0.530984808800419,0.00525929806181246
68,"02",0.653512385346295,0.00343274564727852
68,"04",0.500169734952344,0.00641075858467162
68,"06",0.61875662704392,0.00665773759696412
69,"00",0.57069697117495,0.00660147295517729
69,"02",0.648560678451983,0.00936753463927377
69,"04",0.522455581671595,0.00869158642302929
69,"06",0.620005707762557,0.00411529680365297
70,"00",0.556427753388051,0.00464783355602214
70,"02",0.683391003460208,0.00900203218542318
70,"04",0.552902298850575,0.00405172413793103
70,"06",0.609860606389326,0.012813906817812
71,"00",0.543047523258738,0.0026552677897913
71,"02",0.668328690807799,0.0122841225626741
71,"04",0.503040399833403,0.00794113563792864
71,"06",0.613456464379947,0.0105347834480983
72,"00",0.53903934593766,0.00287429739397036
72,"02",0.680588749635675,0.00944331098805012
72,"04",0.560977011494253,0.00704022988505747
72,"06",0.595426195426195,0.00634986634986635
73,"00",0.564909160818995,0.00442420455637797
73,"02",0.703864734299517,0.0208187134502924
73,"04",0.56741240530303,0.00401278409090909
73,"06",0.644390194283389,0.00930220730342792
74,"00",0.488857721676796,0.00259986494208093
74,"02",0.693815898590214,0.0116573865655728
74,"04",0.556132329209252,0.00701990317374933
74,"06",0.62001352265044,0.0112606798205175
75,"00",0.514970709481449,0.00130180082447385
75,"02",0.712208269162422,0.0208328397109347
75,"04",0.532273603082852,0.00654539272356341
75,"06",0.607333908541846,0.00921771642220304
76,"00",0.628776358475264,0.0089213300892133
76,"02",0.643377674956622,0.0171341816078658
76,"04",0.556025494169824,0.00822392574969894
76,"06",0.616290306174346,0.00413233648662394
77,"00",0.553287438455841,0.00550302819049279
77,"02",0.609361724723874,0.00514018691588785
77,"04",0.49312610344129,0.0112558247228734
77,"06",0.626872586872587,0.0126486486486486
78,"00",0.53769803397595,0.00422313418591334
78,"02",0.600180668473351,0.0034327009936766
78,"04",0.522096016961987,0.00705134029986369
78,"06",0.632847563229315,0.00741855430592956
79,"00",0.554918792371848,0.0023703848217334
79,"02",0.639767644812916,0.00511617759354205
79,"04",0.530488505747126,0.00635057471264367
79,"06",0.531540930979133,0.00449438202247191
80,"00",0.521390374331551,0.00304268171915231
80,"02",0.629303621169916,0.0169637883008356
80,"04",0.543797348484849,0.0084576231060606
80,"06",0.608893557422969,0.00843568196509373
81,"00",0.559290235081374,0.00423146473779385
81,"02",0.655297034926665,0.00991875065949139
81,"04",0.548921130952381,0.0119897959183673
81,"06",0.645872576177285,0.0110526315789474
82,"00",0.557648557648558,0.00548275548275548
82,"02",0.721618979003705,0.027856113627007
82,"04",0.524256559766764,0.00755685131195335
82,"06",0.586830862025635,0.00679819050012566
83,"00",0.534752216412821,0.0030205728574676
83,"02",0.676985583224115,0.0178899082568807
83,"04",0.562122811290628,0.00813239154556033
83,"06",0.587622715192276,0.00757715463470196
84,"00",0.553157742958762,0.00622656925886763
84,"02",0.662170773152082,0.00338785046728972
84,"04",0.526622274448361,0.00385167776472124
84,"06",0.583261432269198,0.00509059534081104
85,"00",0.478084487168181,0.000806949466443249
85,"02",0.689390848149228,0.0227863596619061
85,"04",0.522161989795918,0.00712159863945578
85,"06",0.650452488687783,0.00894742512389571
86,"00",0.530204000792236,0.00153743315508021
86,"02",0.701977715877437,0.00782729805013928
86,"04",0.541297819558689,0.00885233059146102
86,"06",0.650343211116692,0.00635917182878509
87,"00",0.530995912133327,0.00676294865459772
87,"02",0.608022284122563,0.00899721448467966
87,"04",0.502620910475895,0.00253053425258863
87,"06",0.643665158371041,0.00593083387201034
88,"00",0.57416964741952,0.00798415942769545
88,"02",0.693173674151935,0.00258002866698519
88,"04",0.558261087289913,0.0129354323808331
88,"06",0.649078862314156,0.00879120879120879
89,"00",0.575006661337597,0.00855315747402078
89,"02",0.686574295269948,0.0170598423315814
89,"04",0.501788908765653,0.00631708407871198
89,"06",0.597560975609756,0.00795417980565029
