"run","id","auc","pauc","k_pca"
1,"00",0.53125,0.00375608272506083,469
1,"02",0.673381511592894,0.0122854561878952,507
1,"04",0.475480842041496,0.00525821596244131,485
1,"06",0.863052599263201,0.041347728203029,483
2,"00",0.545316301703163,0.00640206812652068,477
2,"02",0.748196055374419,0.0150355443904003,506
2,"04",0.558390659687012,0.0177213802176117,488
2,"06",0.867162790697674,0.0273736434108527,485
3,"00",0.51910930800793,0.00191554100779125,468
3,"02",0.730257116620753,0.0218262167125803,510
3,"04",0.487661574618096,0.00771641206423815,491
3,"06",0.920937905031224,0.0516849298927772,488
4,"00",0.518046097433211,0.00687794656888423,467
4,"02",0.641291810841984,0.00645905420991926,507
4,"04",0.553345630496966,0.0143823348571123,495
4,"06",0.825518637206949,0.0354641029965705,485
5,"00",0.526468723584108,0.00131815300084531,472
5,"02",0.65733064252209,0.0124577288098615,503
5,"04",0.548006962079493,0.006263018232659,488
5,"06",0.900537634408602,0.0467858812529219,481
6,"00",0.47900346389555,0.00610178523847588,471
6,"02",0.709716922025403,0.00457082645098821,506
6,"04",0.567659838609559,0.00837988826815642,491
6,"06",0.864378147510678,0.0370019761586027,488
7,"00",0.506824954340094,0.00657742958761896,466
7,"02",0.714517876489707,0.0171993499458288,507
7,"04",0.571913871931751,0.0138336185538045,484
7,"06",0.864091045223121,0.0353099730458221,481
8,"00",0.540676974101351,0.00302882504999268,476
8,"02",0.759572845156369,0.0160793287566743,507
8,"04",0.517138073839105,0.00624430933709284,488
8,"06",0.81202285252035,0.0293240305374387,486
9,"00",0.55669391926418,0.0101430761369443,474
9,"02",0.663817663817664,0.00696950511765327,509
9,"04",0.544584350507516,0.010824874726969,483
9,"06",0.860721188078527,0.0473756484589563,484
10,"00",0.510754523728235,0.000209725406038141,475
10,"02",0.716552315608919,0.0147696642979662,508
10,"04",0.493008060576453,0.00127625793844651,482
10,"06",0.881750321750322,0.0441673101673102,487
11,"00",0.568557919621749,0.00220646178092986,479
11,"02",0.729876255819652,0.0229171771624602,506
11,"04",0.543553358843537,0.0123724489795918,492
11,"06",0.849270488691219,0.0341270271736183,494
12,"00",0.531235966269148,0.00905144453869567,474
12,"02",0.704750801515593,0.0130865636840571,512
12,"04",0.531792662227445,0.0106149627888758,488
12,"06",0.835800667222686,0.032159612176814,486
13,"00",0.544489007724302,0.00303030303030303,472
13,"02",0.720686209193871,0.0229580279813458,500
13,"04",0.561018001241465,0.00915580384854128,489
13,"06",0.87140506946137,0.0510480136485498,482
14,"00",0.542529159559264,0.0043497303028906,472
14,"02",0.743201989937249,0.01542766691164,504
14,"04",0.579649778986739,0.0158109486569194,484
14,"06",0.915577371589738,0.054482833432771,480
